,Nivel de formación alcanzado,Tareas,Tiempo dedicado a trabajar en determinadas tareas,Tipo de dato,Total
149,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,Menos de la mitad,Porcentajes,"89,27"
150,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,No sabe/ No contesta,Valores absolutos,"140,8"
151,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,No sabe/ No contesta,Porcentajes,"2,84"
152,Educación secundaria segunda etapa,Realizar esfuerzos físicos,Total,Valores absolutos,"4.959,8"
153,Educación secundaria segunda etapa,Realizar esfuerzos físicos,Total,Porcentajes,"100,00"
154,Educación secundaria segunda etapa,Realizar esfuerzos físicos,La mitad o más,Valores absolutos,"1.592,9"
155,Educación secundaria segunda etapa,Realizar esfuerzos físicos,La mitad o más,Porcentajes,"32,12"
156,Educación secundaria segunda etapa,Realizar esfuerzos físicos,Menos de la mitad,Valores absolutos,"3.295,4"
157,Educación secundaria segunda etapa,Realizar esfuerzos físicos,Menos de la mitad,Porcentajes,"66,44"
158,Educación secundaria segunda etapa,Realizar esfuerzos físicos,No sabe/ No contesta,Valores absolutos,"71,5"
159,Educación secundaria segunda etapa,Realizar esfuerzos físicos,No sabe/ No contesta,Porcentajes,"1,44"
160,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,Total,Valores absolutos,"4.959,8"
161,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,Total,Porcentajes,"100,00"
162,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,La mitad o más,Valores absolutos,"1.055,8"
163,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,La mitad o más,Porcentajes,"21,29"
164,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Valores absolutos,"3.817,1"
165,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Porcentajes,"76,96"
166,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Valores absolutos,"86,8"
167,Educación secundaria segunda etapa,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Porcentajes,"1,75"
168,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,Total,Valores absolutos,"4.959,8"
169,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,Total,Porcentajes,"100,00"
170,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,La mitad o más,Valores absolutos,"2.389,8"
171,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,La mitad o más,Porcentajes,"48,18"
172,Educación secundaria segunda etapa,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Valores absolutos,"2.425,8"
